id	tok	eng	cmn
118	ilo lape soweli	animal tranquilizer or anesthetic, e.g. ketamine	
119	ilo li lon poki.	The tools are in the container.	
120	ilo li pakala.	The tool is broken.	
121	ilo moku	an eating utensil (fork/spoon/knife)	
122	ilo moku	utensil, fork, spoon, knife, etc.	
123	ilo musi	toy, thing used for entertainment	
124	ilo nanpa	computer	
125	ilo nasa	drugs	
126	ilo nasa wawa	energy-giving drug, e.g. amphetamine	
127	ilo ni li lete pilin.	This axe feels cold.	
128	ilo	noun: tool, device, machine, thing used for a specific purpose	
129	ilo pi sitelen tawa	tv	
130	ilo pi sitelen tawa	TV	
131	ilo pi sitelen toki	pen, pencil	
132	ilo sona	smart tool or machine, e.g. computer	
133	ilo suno	flashlight	
134	ilo suno	lamp	
135	ilo toki	communications device, e.g. telephone, online chat	
136	ilo	tool, device, machine	
137	ilo unpa	sex toy	
138	ilo wan ma	Internet	
139	Inli	England, English	
140	insa	adjective: inner, internal	
141	insa	inside, stomach	
142	insa	noun: inside, inner world, centre, stomach	
143	Intonesija	Indonesia, Indonesian	
144	Isale	Israel	
145	Isilan	Iceland, Icelandic	
146	Italija	Italy, Italian	
147	jaki	adjective: dirty, gross, filthy, obscene	
148	jaki	adverb: dirty, gross, filthy	
149	jaki	dirty, nasty, trash	
150	jaki (e)	verb transitive: to pollute, to dirty	
151	jaki!	interjection: ew! yuck!	
152	jaki	noun: dirt, pollution, garbage, filth, feces	
153	Jamanija	Yemen	
154	jan	adjective: human, somebody's, personal, of people	
155	jan	adverb: human, somebody's, personal, of people	
156	jan ala li toki.	Nobody is talking.	
157	jan alasa pona li wawa.	A good hunter is strong.	
158	jan ali li wile tawa.	Everybody wants to travel.	
159	jan Ana o pana e moku, tawa mi!	Ana, give me food.	
160	jan Eliku Kulaputon	Eric Clapton	
161	jan Elu	elf	
162	jan Epi o a!	Oh Abbie!	
163	jan Eta li jan unpa.	Heather is a whore.	
164	jan (e)	verb transitive: to personify, to humanize, to personalize	
165	jan ike	bad person, jerk, negative person, enemy	
166	jan ike	enemy	
167	jan ike li kama la o seli e lipu ni!	If the enemy comes, burn these papers.	
168	jan ike li utala e ona mute.	An enemy is attacking them.	
169	jan ike ni li jo e len nasa.	That bad person has strange clothes.	
170	jan jelo laso lili li kama, tan sewi.	A little green person came from the sky.	
171	jan Jon Kalapin	John Calvin	
172	jan kala	mermaid.	
173	jan Kanata	Canadian person	
174	jan Keli o, sina pona lukin.	Kelly, you are pretty.	
175	jan Ken o, mi olin e sina.	Ken, I love you.	
176	jan Ken o, pipi li lon len sina.	Ken, a bug is on your shirt.	
177	jan Kitopokolonpo	Christopher Columbus	
178	jan kulupu	member of a group	
179	jan laso jelo lili li kama, tan sewi. /	A little green person came from the sky.	
180	jan laso lili	If Little Boy Blue	
181	jan lawa	leader	
182	jan lawa	leader, boss, master, chairperson, president, director	
183	jan lawa lete	King Frost	
184	jan lawa li moku e telo jaki.	The leader drank dirty water.	
185	jan lawa ma	president of country, governor of state, premier of province	
186	jan lawa pi jan utala	commander, general	
187	jan lawa pi ma tomo	mayor	
188	jan lawa pi tomo tawa kon	a pilot	
189	jan lawa pi tomo tawa telo li moku.	The captain of the ship is eating.	
190	jan li alasa e soweli.	Somebody hunt a buffalo.	
191	jan lili	child	
192	jan lili	child, daughter, son	
193	jan lili en jan suli li toki.	The child and the adult are talking.	
194	jan lili li ken ala moku e telo nasa.	Children can't drink beer.	
195	jan lili li lukin e jan suli.	Children watch adults.	
196	jan lili li sona ala e ike.	Children are innocent.	
197	jan lili li wile e telo kili.	Children want fruit juice.	
198	jan lili pi jan Keli li musi.	Keli's child is funny.	
199	jan lili pi jan Ken en jan Lisa li suwi.	Ken and Lisa's baby is sweet.	
200	jan lili sina li suwi.	Your baby is cute.	
201	jan lili	small, short, thin or young person, child	
202	jan lili tu wan	3 children	
203	jan li lon insa tomo.	Somebody's inside the house.	
204	jan li lukin sama pipi.	People look like ants.	
205	jan li moku.	Somebody is eating.	
206	jan li moli e waso.	The person killed the bird.	
207	jan li moli	murder	
208	jan li pona.	People are good.	
209	jan Lisa li pona.	Lisa is cool.	
210	jan Lisa o, toki!	Hello, Lisa.	
211	jan Lisa o, toki!	Hello Lisa!	
212	jan Lisa taso li kama.	Only Lisa came.	
213	jan li seme	personal traits	
214	jan li suli mute. mani li suli lili.	People are more important than money.	
215	jan li toki kepeken toki pona lon tomo toki.	People talk in/using Toki Pona in the chat room.	
216	jan li wile jo e ma.	People want to own land.	
217	jan luka tu	7 people	
218	jan Mawen o, sina wile ala wile moku?	Marvin, are you hungry?	
219	jan Mawi li pana e seli tawa ma.	How Maui brought fire to the world.	
220	jan Mesiko	Mexican person	
221	jan Mewi li toki tawa mi.	Mary's talking to me.	
222	jan moli	dead man	
223	jan Mose o lawa e mi mute, tawa ma pona!	Moses, lead us to the good land.	
224	jan mute kin li kama!	Many, many, many people are coming!	
225	jan mute li kama.	Many people are coming.	
226	jan mute li kama.	Many people came.	
227	jan mute lili li kama.	A small amount (of) people are coming.	
228	jan mute lili li kama.	Some (but not a lot) of people are coming.	
229	jan nanpa tu tu	4th person	
230	jan nasa	strange, foolish, unconventional or crazy person	
231	jan nasa utala	fighting fool	
232	jan Nesan li musi.	Nathan is funny.	
233	jan ni li pona lukin	That person is pretty.	
234	jan ni li sama mi.	That person is like me.	
235	jan	noun: person, people, human, being, somebody, anybody	
236	jan olin	loved one	
237	jan olin	significant other, partner	
238	jan pakala	an injured person, victim, etc.	
239	jan pali pi ma ali o wan!	Proletarians of all countries, unite!	
240	jan pali	worker, employee	
241	jan Pawe o, mi wile ala moli.	Forrest, I don't want to die.	
242	jan Pentan li pana e sona tawa mi.	Brandon teaches to me.	
243	jan	People	
244	jan	person, people, inhabitant, member	
245	jan pi ike lukin	an ugly person	
246	jan pi jan unpa mute	promiscuous person	
247	jan pi kama sona	student	
248	jan pi ma ante	foreigner	
249	jan pi ma sama	fellow citizen of same country or land	
250	jan pi ma tomo	a city-dweller	
251	jan pi musi sijelo	athlete	
252	jan pi nanpa wan li lon.	The first person is here.	
253	jan pi nasin sewi Kolisu	a Christian	
254	jan (pi pali) moku	chef, cook	
255	jan (pi pali) unpa	sex worker	
256	jan (pi pali) unpa	sex worker, prostitute	
257	jan pi pana sona	teacher	
258	jan pi pona lukin	an attractive person	
259	jan pi pona pilin	good psychotherapist	
260	jan pi pona sijelo	good doctor, healer	
261	jan pi tomo pali	office worker, etc.	
262	jan pi tomo sama	housemate, roommate	
263	jan pi wawa ala	a person with weakness, a weak person	
264	jan poka	neighbor, someone who is beside you	
265	jan pona	friend (good person)	
266	jan pona	good person, friend, positive person	
267	jan pona mi li lon poka mi.	My friend is beside me.	
268	jan sama	similar person, counterpart, peer, person in same situation, sibling	
269	jan sama	sister, brother, sibling	
270	jan San li seme?	Who is John?	
271	jan San o, ...	John, ...	
272	jan San o tawa tomo sina!	John, go to your house!	
273	jan Santa	Santa Claus	
274	jan seme li lon? / jan seme li lon ni?	Who's there?	
275	jan seme li meli sina?	Who is your girlfriend/wife?	
276	jan seme li moku?	Who is eating?	
277	jan seme li olin e sina?	Who loves you?	
278	jan seme li tawa poka sina?	Who went with you?	
279	jan seme pi kulupu ni li suli?	Which people of this group are important?	
280	jan Sesi o moku e kili ni!	Jessie, eat this fruit!.	
281	jan sewi	saint, God, Flying Spaghetti Monster	
282	jan sin li kama ala kama?	Are more people coming?	
283	jan sin li kama.	More people are coming.	
284	jan Sipi Wanta	Stevie Wonder	
285	jan	somebody, anybody, person	
286	jan sona	knowledgeable person, wise person, educated person, academic, specialist	
287	jan sona li jan nasa.	A wise man is a fool. A genius thinks unconventionally.	
288	jan sona nanpa	mathematician	
289	jan sona pilin	psychologist	
290	jan sona sijelo	doctor, physician	
291	jan suli	adult	
292	jan suli	big, tall or fat person, adult	
293	jan Susan anu jan Lisa li moku e suwi?	Susan or Lisa ate the cookies?	
294	jan Susan li nasa.	Susan is crazy.	
295	jan Ta o toki ala tawa mi!	Todd, don't talk to me!	
296	jan Tepani o, sina ike tawa mi.	Steffany, I don't like you.	
297	jan toki	speaker, messenger, person communicating	
298	jan Toni Kena	Tony Chestnut	
299	jan unpa	lover, prostitute	
300	jan unpa	sexual partner	
301	jan utala ali li nasa	All soldiers are stupid.	
302	jan utala ali li nasa.	All soldiers are stupid.	
303	jan utala li seli ala seli e tomo?	Is the warrior burning the house?	
304	jan utala nasa mute	many stupid soldiers	
305	jan utala nasa ni	this stupid soldier	
306	jan utala nasa	stupid soldier	
307	jan utala pi ma Losi li ike tawa ma ali.	Soldiers of Russia are bad for the world.	
308	jan utala	soldier	
309	jan Wasintan [Washington] li jan lawa pona pi ma Mewika.	Washington was a good leader of America.	
310	jan wawa ala	No strong people.	
311	jan wawa	a strong person	
312	jelo	adjective: yellowish, yellowy	
313	jelo	noun: yellow, light green	
314	jelo	yellow	
315	jelo	yellow, light green	
316	jo	adjective: private, personal	
317	jo ala e selo lon pini palisa	circumcised, cut	
318	jo e linja mute	to be hairy	
319	jo e mani mute	to be rich	
320	jo e pilin pona	to have positive feelings, be mentally healthy	
321	jo e selo lon pini palisa	uncircumcised, uncut	
322	jo e sijelo pona	to be (physically) healthy	
323	jo (e)	verb transitive: to have, to contain	
324	jo ijo mute li ike e jan.	A lot of possession corrupts.	
325	jo	noun: having, possessions, content	
326	jo	to have, ownership, possession	
327	kala	adjective: fish-	
328	kala	fish or an animal that live in water	
329	kala	fish, seafood	
330	kala kule mute	The Rainbow Fish	
331	kala lete	raw fish, sushi	
332	Kalalinuna	Greenland, Greenlandic	
333	kalama	adjective: noisy, loud, rowdy	
334	kalama ala li lon	No sound exists.	
335	kalama (e)	verb transitive: to sound, to ring, to play (an instrument)	
336	kalama musi en meli li pona, tawa mi.	I like music and girls.	
337	"kalama musi ""Jingle Bells"" li pona tawa mi."	"I like the song ""Jingle Bells""."	
338	kalama musi li pona tawa mi.	I like music.	
339	kalama musi pi jan Elton-John li nasa.	Elton John's music is odd.	
340	kalama musi pi jan Enja li pona.	Enya's music is good.	
341	kalama ni li seme?	What was that noise?	
342	kalama	noun: sound, noise, voice	
343	kalama	sound, noise; to make noise, to play an instrument	
344	kalama	verb intransitive: to make noise	
345	kala	noun: fish, marine animal, sea creature	
346	kama	adjective: coming, future	
347	kama	adverb: coming, future	
348	kama (e)	verb transitive: to bring about, to summon	
349	kama jo e lupa meli	to get genital reconstruction surgery as a women, i.e. vaginoplasty	
350	kama jo e palisa mije	to get genital reconstruction surgery as a man, i.e. metoidioplasty, phalloplasty	
351	kama jo e sinpin lawa meli	to get facial feminization surgery	
352	kama jo e sinpin mije	to get male chest reconstruction surgery	
353	kama jo (e)	verb transitive: to get	
354	kama jo	get	
355	kama moli	intransitives Verb: dieing	
356	kama	noun: event, happening, chance, arrival, beginning	
357	kama olin	fall in love with	
358	kama pona!	Come well! Welcome!	
359	kama sona (e)	transitives Verb: to learn, to study	
360	kama	to come	
361	kama	to come, to happen, to cause	
362	kama	verb intransitive: to come, to become, to arrive, to happen	
363	kama	verb pre: to become, to mange to	
364	Kana	Ghana	
365	Kanata	Canada	
366	Kanse	France, French	
367	kasi	adjective: vegetable, vegetal, biological, biologic, leafy	
368	kasi anpa	grass	
369	kasi (e)	verb transitive: to plant, to grow	
370	kasi	herb, plant	
371	kasi kule	flower	
372	kasi kule li pona lukin.	Flowers are pretty.	
373	kasi kule loje lili	The Little Pink Rose	
374	kasi nasa	intoxicating plant, e.g. marijuana	
375	kasi nasa / kasi sona	hemp	
376	kasi	noun: plant, vegetation, herb, leaf	
377	kasi pi tenpo pona Kolisu	Chrismas tree	
378	kasi	plant	
379	kasi sona	intoxicating plant used in meditation, e.g. marijuana	
380	kasi suli	trees, big shrubs	
381	kasi	verb intransitive: to grow	
382	kasi wawa	spice	
383	Katala	Qatar	
384	Katelo	Georgia, Georgian	
385	Katemala	Guatemala	
386	Kenata	Grenada	
387	ken	can, to be able to; possibility	
388	ken (e)	verb transitive: to make possible, to enable, to allow, to permit	
389	ken la	conditional: maybe	
390	ken la ilo li pakala.	Maybe the tool is broken.	
391	ken la jan lili li wile moku e telo.	Maybe the baby is thirsty.	
392	ken la jan Lisa li jo e ona.	Maybe Lisa has it.	
393	ken la jan Susan li kama.	Maybe Susan will come.	
394	ken la mi ken tawa ma Elopa.	Maybe I can go to Europe.	
395	ken la ona li lape.	Maybe he's alseep.	
396	ken la ona li lon tomo sona.	Maybe he's in school.	
397	ken la tenpo pimeja la ni li pona.	Maybe in the night it will be ok.	
398	ken	noun: possibility, ability, power to do things, permission	
399	ken	verb intransitive: can, is able to, is allowed to, may, is possible	
400	ken	verb pre: to can, may	
401	Kepeka	Quebec	
402	kepeken ike e ilo nasa	to abuse drugs	
403	kepeken kasi nasa	to smoke pot	
404	kepeken lili e ilo nasa	to use drugs in moderation	
405	kepeken	noun: use, usage, tool	
406	, kepeken	preposition: with	
407	kepeken	to use, with, using	
408	kepeken utala	to use violence	
409	kepeken	verb intransitive: to use	
410	kepeken	verb pre: to use	
411	Keposi	Cyprus	
412	kili	adjective: fruity	
413	kili	adverb: fruity	
414	kili	fruit, vegetable	
415	kili	fruit, vegetable	
416	kili lili kiwen	nut	
417	kili lili	small vegetable, fruit, e.g. berry, olive	
418	kili li lon poki.	The fruit is in the basket.	
419	kili li moku li pona.	Pineapple is a food and is good.	
420	kili li pona, tawa mi.	I like fruit.	
421	kili li tawa anpa poka kasi.	The appel drops not far from the tree.	
422	kili loje	reddish fruit or vegetable, e.g. tomato	
423	kili ma	earth vegetable, e.g. potato	
424	kili	noun: fruit, pulpy vegetable, mushroom	
425	kili palisa	long fruit or vegetable, e.g. carrot, banana, cucumber	
426	Kilipasi	Kiribati	
427	kili pi jan Linta li ike.	Linda's fruit is bad.	
428	kili pi jan Susan	Susan's fruit	
429	kili suwi	(sweet) fruit	
430	kili	vegetable, fruit	
431	kin	adjective: indeed, still, too kin can be the very last word in an adjective group.	
432	kin	adverb: actually, indeed, in fact, really, objectively, kin can be the very last word in an adverb group.	
433	kin	indeed, still, too	
434	kin la	conditional: moreover, in addition, likewise	
435	Kinla	Wales, Welsh	
436	kipisi (e)	verb transitive: to cut	
437	kipisi	noun: section, fragment, slice	
438	kipisi	to cut	
439	kiwen	adjective: hard, solid, stone-like, made of stone or metal	
440	kiwen	adverb: hard, solid, stone-like, made of stone or metal	
441	kiwen (e)	verb transitive: to solidify, to harden, to petrify, to fossilize	
442	kiwen	noun: hard thing, rock, stone, metal, mineral, clay	
443	kiwen	stone, rock, hard like a rock	
444	ko (e)	verb transitive: to squash, to pulverize	
445	ko jaki	feces	
446	ko jaki lon nena sinpin	boogers	
447	ko jaki	shit, feces, pooh	
448	ko lete li kama	it's snowing	
449	kon	adjective: air-like, ethereal, gaseous	
450	kon	adverb: air-like, ethereal, gaseous	
451	kon	air, atmosphere, spirit, wind	
452	kon en sewi	weather	
453	Konko (pi ma tomo Kinsasa)	Congo, Dem. Rep.	
454	Konko (pi ma tomo Pasawi)	Congo, P. Rep.	
455	kon	noun: air, wind, smell, soul	
456	ko	noun: semi-solid or squishy substance; clay, dough, glue, paste, powder, gum	
457	kon sewi li jo e walo	it's cloudy	
458	kon telo walo	snow, fog	
459	kon	verb intransitive:: to breathe	
460	kon	verb transitive: to blow away something, to puff away something	
461	Kosalika	Costa Rica	
462	ko	semi-solid substance (glue, powder, etc.), to squash	
463	Kosiwa	C�te d'Ivoire	
464	ko (walo) wawa	cocaine	
465	kule	adjective: colourful, pigmented, painted	
466	kule	color, to paint, to color	
467	kule	colour	
468	kule (e)	verb transitive: to paint, to color	
469	kule laso loje li pona, tawa mi.	I like the color purple.	
470	kule loje laso li pona, tawa mi. /	I like the color purple.	
471	kule lon palisa luka	nail polish	
472	kule	noun: color, colour, paint, ink, dye, hue	
473	kule seme li pona, tawa sina?	Which color do you like?	
474	kulupu	adjective: communal, shared, public, of the society	
475	kulupu	group, community, society	
476	kulupu mama	family	
477	kulupu	noun: group, community, society, company, people	
478	kulupu pi kalama musi pi ma Inli li pona.	The English rock band is good.	
479	kulupu pi ma Inli pi kalama musi li pona.	The English rock band is good.	
480	kulupu pi tenpo mun	Month	
481	kulupu pi tenpo suno luka tu	days of the week	
482	kulupu pi toki pona	the Toki Pona community	
483	kulupu	verb transitive: to assemble, to call together, to convene	
484	Kupa	Cuba	
485	Kusala	Gujarat, Gujarati	
486	kute	adjective: auditory, hearing	
487	kute (e)	verb transitive: to hear, to listen,	
488	kute	noun: hearing, ear	
489	kute	to hear	
490	Kuwasi	Kuweit	
491	Lanka	Sri Lanka	
492	lape	adjective: sleeping, of sleep, dormant	
493	lape	adverb: asleep	
494	lape li pona.	Sleep and rest are good.	
495	lape	noun: sleep, rest	
496	lape pona!	Sleep well! Have a good night!	
497	lape	to sleep; sleep	
498	lape	verb intransitive: to sleep, to rest	
499	lape	verb transitive: to knock out	
500	la	separates adverb of context from sentence	
501	la	"separator: A ""la"" is between the context phrase and the main sentence. Don't use ""la"" before or after the other separators ""e"", ""li"", ""pi"", ""."", ""!"", ""?"", "":"", "",""."	
502	laso	adjective: bluish, bluey	
503	laso	blue	
504	laso	blue, blue-green	
505	laso jelo	green (yellowish blue)	
506	laso jelo / jelo laso	yellowish blue (green)	
507	laso loje / loje laso	reddish blue (purple	
508	laso loje	purple (reddish blue)	
509	laso	noun: blue, blue-green	
510	laso pimeja	dark blue	
511	lawa	adjective: main, leading, in charge	
512	lawa	adverb: main, leading, in charge	
513	lawa e pilin	to master one's feelings, be composed	
514	lawa (e)	verb transitive: to lead, to control, to rule, to steer	
515	lawa	head	
516	lawa	main, leading, head; to lead	
517	lawa	noun: head, mind	
518	len	adjective: dressed, clothed, costumed, dressed up	
519	len	clothes, article of clothing, cloth, fabric	
520	len	clothing, clothe	
521	len (e)	verb transitive: to wear, to be dressed, to dress	
522	len jan	somebody's clothes	
523	len lawa	hat, hood, bonnet, headdress	
524	len luka	gloves, mittens	
525	len ni li kule seme?	What colour is this article of clothing?	
526	len noka	shoe, pants	
527	len	noun: clothing, cloth, fabric, network, internet	
528	len pi jan Lisa	Lisa's clothes	
529	len pi jan Susan li jaki.	Susan's clothes are dirty.	
530	len pi loje en laso	shirt of red and blue	
531	Lesi	Brittany, Breton	
532	lete	adjective: cold, cool, uncooked, raw, perishing	
533	lete	adverb: bleakly	
534	lete	cold; to freeze	
535	lete (e)	verb transitive: to cool down, to chill	
536	lete lili li lon.	It's cool.	
537	lete lili li lon kin.	Here is it little cold too.	
538	lete li lon	it's cold	
539	lete li lon.	It's cold.	
540	lete mute li lon.	It's very cold.	
541	lete	noun: cold, chill, bleakness	
542	lili	adjective: small, little, young, a bit, short, few, less	
543	lili	adverb: small, little, young, a bit, short, few, less	
544	lili (e)	verb transitive: to reduce, to shorten, to shrink, to lessen	
545	lili	little	
546	lili	noun: smallness, youth, immaturity	
547	lili	small, short, thin, young	
548	linja	adjective: elongated, oblong, long	
549	linja (lawa)	hair	
550	linja lawa	hair (of head)	
551	linja lili oko	eyebrows, eyelashes	
552	linja	line, hair	
553	linja mi li telo.	My hair is wet.	
554	linja	noun: long and flexible thing; string, rope, hair, thread, cord, chain, line, yarn	
555	linja sinpin	beard, facial hair	
556	linja uta	moustache	
557	Lipija	Libya	
558	lipu	adjective: book-, paper-, card-, ticket-, sheet-, page,-	
559	lipu ni li lete pilin.	This paper feels cold.	
560	lipu	noun: paper, book, card, ticket, sheet, (web-)page, list ; flat and bendable thing	
561	lipu	paper, sheet, page, ticket, etc.	
562	lipu toki	paper with written information, document, text, book	
563	Lisensan	Liechtenstein	
564	li	separates a 3rd person subject from its verb	
565	loje	adjective: reddish, ruddy, pink, pinkish, gingery	
566	loje jelo	orange (yellowish red)	
567	loje laso (pimeja)	(dark) blueish red, purple	
568	loje	noun: red	
569	loje	red	
570	loje walo	light red, pink	
571	loje walo	pink (whitish red)	
572	Lomani	Romania, Romanian	
573	lon	adjective: true, existing, correct, real, genuine	
574	lon ala	no	
575	lon	noun: existence, being, presence	
576	, lon	preposition: be (located) in/at/on	
577	lon tenpo pi pali ala	to be taking a sabbatical, break from work	
578	lon	to be in/at/on, to exist; in, at, on	
579	lon	truth	
580	lon	verb intransitive: to be there, to be present, to be real/true, to exist	
581	lon	yes	
582	Losi	Russia, Russian	
583	Lowasi	Croatia, Croatian	
584	Lowenki	Slovakia, Slovak	
585	Lowensina	Slovenia, Slovenian	
586	luka	5	
587	luka	adjective numeral: 5	
588	luka	adjective: tangible, palpable	
589	luka	arm, hand	
590	luka	five	
591	luka	hand, arm	
592	luka luka	5 + 5 = 10	
593	luka luka luka	5 + 5 + 5 = 15	
594	luka luka tu	5 + 5 + 2 = 12	
595	luka luka tu tu	5 + 5 + 2 + 2 = 14	
596	luka luka tu wan	5 + 5 + 2 + 1 = 13	
597	luka luka wan	5 + 5 + 1 = 11	
598	luka mi li jaki. mi wile telo e ona.	My hands are dirty. I want to wash them.	
599	luka	noun: arm, hand, tacticle organ	
600	luka tu	5 + 2 = 7	
601	luka tu tu	5 + 2 + 2 = 9	
602	luka tu wan	5 + 2 + 1 = 8	
603	luka wan	5 + 1 = 6	
604	lukin	adjective: visual(ly)	
605	lukin	adverb: visual(ly)	
606	lukin	aware, attentive	
607	lukin e toki	read	
608	lukin (e)	verb transitive: to see, to look at, to watch, to read	
609	lukin jo e pali	to be looking for a job	
610	lukin	noun: view, look, glance, sight, gaze, glimpse, seeing, vision	
611	lukin	to see, to look at, vision, sight	
612	lukin	verb intransitive: to look, to watch out, to pay attention	
613	lukin	verb pre: to seek to, try to, look for	
614	Lunpan	Lebanon	
615	lupa (e)	verb transitive: to pierce, to stab, to perforate	
616	lupa	hole, orifice	
617	lupa	hole, orifice, door, window	
618	lupa jaki	anus	
619	lupa kute	ear	
620	lupa meli li mama ale.	A woman's womb is the mother of all things.	
621	lupa meli	vagina	
622	lupa (meli)	vagina, pussy	
623	lupa monsi	anus	
624	lupa nena	nostrils	
625	lupa ni li suli.	That hole is big.	
626	lupa	noun: hole, orifice, door, window	
627	lupa pi telo jelo	urethra	
628	lupa (tomo)	window, door	
629	Lusepu	Luxemburg	
630	Luwanta	Rwanda	
631	ma	adjective: countrified, outdoor, alfresco, open-air	
632	ma ali li pona.	All nations are good.	
633	ma Amelika lete	North America	
634	ma Amelika seli	South America	
635	ma Amelika	the Americas	
636	ma Antasika	Antarctica	
637	ma Apika	Africa	
638	ma Asija	Asia	
639	ma	Ecology	
640	ma Elopa	Europe	
641	ma Elopa li weka, tan ma Mewika.	Europe is away from the USA.	
642	ma Inli li pona.	England is good.	
643	ma Italija li pona lukin.	Italy is beautiful.	
